Deck Name,Total Price,Card Name,Card Quantity,Card Price
Murktide Regent,1297.68,Engineered Explosives,1,18.99
Murktide Regent,1297.68,Mishra's Bauble,4,44.52
Murktide Regent,1297.68,Blood Moon,2,36.78
Murktide Regent,1297.68,Fiery Islet,1,14.99
Murktide Regent,1297.68,Flooded Strand,2,80.64
Murktide Regent,1297.68,Island,3,0.0
Murktide Regent,1297.68,Misty Rainforest,2,60.0
Murktide Regent,1297.68,Polluted Delta,2,97.9
Murktide Regent,1297.68,Scalding Tarn,1,33.11
Murktide Regent,1297.68,Spirebluff Canal,4,61.76
Murktide Regent,1297.68,Steam Vents,3,45.81
Murktide Regent,1297.68,Engineered Explosives,2,37.98
Murktide Regent,1297.68,Flusterstorm,1,27.05
Murktide Regent,1297.68,Relic of Progenitus,2,11.74
Murktide Regent,1297.68,Soul-Guide Lantern,1,2.42
Murktide Regent,1297.68,Dress Down,2,5.32
Murktide Regent,1297.68,Force of Negation,1,74.64
Murktide Regent,1297.68,Mystical Dispute,2,2.1
Murktide Regent,1297.68,"Jace, the Mind Sculptor",2,119.2
Murktide Regent,1297.68,Subtlety,1,6.09
Murktide Regent,1297.68,Fury,1,22.0
Crashing Footfalls,1325.45,Bonecrusher Giant,2,1.62
Crashing Footfalls,1325.45,Brazen Borrower,4,48.0
Crashing Footfalls,1325.45,Shardless Agent,4,2.92
Crashing Footfalls,1325.45,"Teferi, Time Raveler",4,75.6
Crashing Footfalls,1325.45,Crashing Footfalls,4,9.96
Crashing Footfalls,1325.45,Force of Negation,4,298.56
Crashing Footfalls,1325.45,Violent Outburst,4,22.8
Crashing Footfalls,1325.45,Dead // Gone,2,0.5
Crashing Footfalls,1325.45,Fire // Ice,4,1.2
Crashing Footfalls,1325.45,Ardent Plea,4,18.2
Crashing Footfalls,1325.45,Breeding Pool,1,21.93
Crashing Footfalls,1325.45,Flooded Strand,2,80.64
Crashing Footfalls,1325.45,Forest,1,0.0
Crashing Footfalls,1325.45,Gemstone Caverns,2,55.76
Crashing Footfalls,1325.45,Hallowed Fountain,1,8.95
Crashing Footfalls,1325.45,Island,1,0.0
Crashing Footfalls,1325.45,Ketria Triome,1,11.99
Crashing Footfalls,1325.45,Misty Rainforest,4,120.0
Crashing Footfalls,1325.45,Mountain,1,0.0
Crashing Footfalls,1325.45,Plains,1,0.0
Crashing Footfalls,1325.45,Raugrin Triome,1,12.58
Crashing Footfalls,1325.45,Sacred Foundry,1,19.94
Crashing Footfalls,1325.45,Scalding Tarn,4,132.44
Crashing Footfalls,1325.45,Steam Vents,1,15.27
Crashing Footfalls,1325.45,Stomping Ground,1,10.38
Crashing Footfalls,1325.45,Temple Garden,1,10.8
Crashing Footfalls,1325.45,Gemstone Caverns,2,55.76
Crashing Footfalls,1325.45,Blood Moon,2,36.78
Crashing Footfalls,1325.45,Endurance,4,145.88
Crashing Footfalls,1325.45,Mystical Dispute,3,3.15
Crashing Footfalls,1325.45,Force of Vigor,4,103.84
Burn,555.91,Lurrus of the Dream-Den,1,6.92
Burn,555.91,Goblin Guide,4,22.76
Burn,555.91,Monastery Swiftspear,4,5.28
Burn,555.91,Eidolon of the Great Revel,4,65.8
Burn,555.91,Lava Spike,4,13.8
Burn,555.91,Lightning Bolt,4,8.04
Burn,555.91,Boros Charm,4,7.16
Burn,555.91,Lightning Helix,3,3.18
Burn,555.91,Searing Blaze,4,7.16
Burn,555.91,Skullcrack,1,3.12
Burn,555.91,Rift Bolt,4,1.96
Burn,555.91,Skewer the Critics,4,2.4
Burn,555.91,Arid Mesa,2,39.98
Burn,555.91,Bloodstained Mire,2,79.98
Burn,555.91,Fiery Islet,1,14.99
Burn,555.91,Inspiring Vantage,4,35.52
Burn,555.91,Mountain,3,0.0
Burn,555.91,Sacred Foundry,2,39.88
